mean,var
-0.00313313,0.070014276
0.0008159184,0.035274148
0.9430567,0.0054346407
-0.3413534,0.21197382
0.082684904,0.020632546
-0.03121824,0.018086795
0.43921134,0.31202912
-0.098671265,0.06948352
-0.023940425,0.015475148
-0.3345967,0.21186434
-0.019427912,0.016941693
-0.03043066,0.018367961
0.4352693,0.31085193
-0.09867749,0.067309275
-0.02219956,0.015457864
0.11982958,40.047447
-0.0072314804,19.928276
0.13710776,29.159151
-0.17575136,61.192635
0.10267543,38.99598
0.08721517,26.463408
0.11998753,40.429707
-0.11244956,16.089016
-0.13565437,29.349472
-0.14298922,61.24841
0.10261092,38.207836
0.25779715,25.90501
-1.1922765,3.054879
0.26964125,0.5876472
-0.12655342,0.47254655
1.2968547,3.7284338
-0.33534124,1.3846748
-0.20224825,1.311883
-1.1473616,2.9800045
0.032067996,0.63278514
-0.05596625,0.4668212
1.2627094,3.618865
-0.3231511,1.339775
-0.18922068,1.310129
0.46389508,0.0920148
0.95249814,0.0075727743
2.0000083,0.0003999576
0.0,0.0
